"hz","total_cases","n_weeks","acceptance_rate","parameter","median","q025","q975","mean","sd"
"kokolo",456,30,0.306481728460923,"obs_size",1.09851489281913,1.00278100371037,1.59487310515914,1.15338607940243,0.163952354160147
"kokolo",456,30,0.306481728460923,"trans_prob",0.000263009740372287,0.000167846762417145,0.0492053499252235,0.0139044843366701,0.01919685246659
"limete",879,31,0.318307104116653,"E0",21.6625439649771,10.5484739980398,61.5333797582587,25.335731829307,14.2482728967416
"limete",879,31,0.318307104116653,"R0",1.87367056141116,1.521642175674,2.40052674315543,1.89982426899445,0.21895842220535
"limete",879,31,0.318307104116653,"frac_neff",0.644654283295979,0.105557155811962,0.94561028059916,0.59195292506437,0.282214078466519
"limete",879,31,0.318307104116653,"obs_size",1.06789922521942,1.00305661090129,1.36230429870987,1.09693784512015,0.0944716102617939
"limete",879,31,0.318307104116653,"trans_prob",0.00108834441648978,0.000653413200556551,0.0081186591902015,0.00193890576768473,0.00197022264586151
"maluku_i",212,25,0.289054859073531,"E0",466.514025184374,145.295608676956,777.643519799362,467.043789756327,175.905985668753
"maluku_i",212,25,0.289054859073531,"R0",0.538590073118525,0.387672563648069,0.816594868605167,0.555424771816152,0.132624234338419
"maluku_i",212,25,0.289054859073531,"frac_neff",0.912285460030974,0.644723077545973,0.948168713569833,0.886515153233804,0.108695775766505
"maluku_i",212,25,0.289054859073531,"obs_size",1.28143864844472,1.01104535796288,2.27398658735886,1.37681430078141,0.354153390497553
"maluku_i",212,25,0.289054859073531,"trans_prob",0.000225030367307885,0.0001583276607645,0.000399926786743766,0.000482872593044345,0.0030163452855746
"ngiri_ngiri",218,31,0.230550368987285,"E0",13.3427454357882,10.1223797277628,30.7331713407993,15.1081553381171,5.48855135801238
"ngiri_ngiri",218,31,0.230550368987285,"R0",1.32382250885319,1.07942304097649,1.62958799382924,1.33248503515856,0.137680014434443
"ngiri_ngiri",218,31,0.230550368987285,"frac_neff",0.55238622533168,0.0394171680042715,0.943918620890481,0.519402899759571,0.31665581145617
"ngiri_ngiri",218,31,0.230550368987285,"obs_size",1.47728447085381,1.02450156271849,2.87011059769636,1.59711018119085,0.479611117987812
"ngiri_ngiri",218,31,0.230550368987285,"trans_prob",0.000910272691551579,0.000470083681161577,0.0140995017810575,0.00250499439864783,0.00390783845620572
"nyiragongo",1369,46,0.255179158886814,"E0",93.4936647868148,39.5649411958758,195.766375803304,101.356971229608,40.9142748582474
"nyiragongo",1369,46,0.255179158886814,"R0",1.30668166915549,1.11444286191976,1.75271003393564,1.34901539699197,0.17766794372006
"nyiragongo",1369,46,0.255179158886814,"frac_neff",0.133395277823938,0.0485506913152435,0.686041699993514,0.246402876084873,0.214743849647328
"nyiragongo",1369,46,0.255179158886814,"obs_size",7.84324256947329,4.14453851835096,14.8664806202894,8.26051167619842,2.69204360946536
"nyiragongo",1369,46,0.255179158886814,"trans_prob",0.00368147495098608,0.000636273011162816,0.0133382479337522,0.00468238285858016,0.00393274779076012
"opala",1279,26,0.492042322397084,"E0",59.3862920583448,11.3211089036152,734.205780203005,165.367167870805,209.382840235693
"opala",1279,26,0.492042322397084,"R0",4.69550128871627,1.63111674870976,7.7819882381553,4.53540137829896,1.70867314785538
"opala",1279,26,0.492042322397084,"frac_neff",0.0835178138645945,0.0575261602433474,0.925773637449994,0.194362708921766,0.259365209518267
"opala",1279,26,0.492042322397084,"obs_size",1.22579568564395,1.00786841348927,2.04601698071083,1.30459252259193,0.281637733174381
"opala",1279,26,0.492042322397084,"trans_prob",0.0223682089448378,0.000716075364828391,0.0390578028365786,0.0203536355621952,0.0115213756700371
